seqnames	start	end	width	strand	score	group_name	feature	gene_name	motif_nm	tf_symbol	description	species
chr22	50711818	50711827	10	+	12.2864485015924	MA0057.1	intron	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50724380	50724389	10	+	12.5436042774721	MA0057.1	intron	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50731670	50731679	10	+	13.403094931939	MA0057.1	exon	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50731670	50731679	10	+	13.403094931939	MA0057.1	exon	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50731670	50731679	10	+	13.403094931939	MA0057.1	UTR	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50690193	50690203	11	+	13.1849209078196	MA0059.1	intron	SHANK3	MAX::MYC	-	-	Homo sapiens
chr22	50732262	50732272	11	+	12.3851192339274	MA0059.1	exon	SHANK3	MAX::MYC	-	-	Homo sapiens
chr22	50732262	50732272	11	+	12.3851192339274	MA0059.1	exon	SHANK3	MAX::MYC	-	-	Homo sapiens
chr22	50732262	50732272	11	+	12.3851192339274	MA0059.1	UTR	SHANK3	MAX::MYC	-	-	Homo sapiens
chr22	50677876	50677895	20	+	10.4211839194036	MA0066.1	intron	SHANK3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr22	50700089	50700108	20	+	11.4490874652155	MA0066.1	intron	SHANK3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr22	50701805	50701824	20	+	9.67222213633488	MA0066.1	intron	SHANK3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr22	50713575	50713594	20	+	10.4568042671218	MA0066.1	intron	SHANK3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr22	50722102	50722121	20	+	11.972664763651	MA0066.1	exon	SHANK3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr22	50722102	50722121	20	+	11.972664763651	MA0066.1	exon	SHANK3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr22	50726195	50726214	20	+	11.1990874115627	MA0066.1	intron	SHANK3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr22	50691474	50691487	14	+	14.12100056246	MA0069.1	intron	SHANK3	Pax6	PAX6	paired box 6	Homo sapiens
chr22	50702044	50702055	12	+	8.41747997678301	MA0070.1	intron	SHANK3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr22	50702085	50702096	12	+	9.72630019844161	MA0070.1	intron	SHANK3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr22	50702089	50702100	12	+	8.23153550669203	MA0070.1	intron	SHANK3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr22	50690761	50690770	10	+	12.2989639282466	MA0071.1	intron	SHANK3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50699181	50699190	10	+	11.7631653957283	MA0071.1	intron	SHANK3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50701739	50701748	10	+	12.8696859964573	MA0071.1	intron	SHANK3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50703155	50703164	10	+	14.2707650163828	MA0071.1	intron	SHANK3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50715089	50715098	10	+	11.2434809694663	MA0071.1	intron	SHANK3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50733023	50733032	10	+	11.239709119127	MA0071.1	exon	SHANK3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50733023	50733032	10	+	11.239709119127	MA0071.1	exon	SHANK3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50733023	50733032	10	+	11.239709119127	MA0071.1	UTR	SHANK3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50687340	50687353	14	+	8.52069792205932	MA0072.1	intron	SHANK3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50689681	50689694	14	+	14.146710915832	MA0072.1	intron	SHANK3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50690758	50690771	14	+	15.4338601929915	MA0072.1	intron	SHANK3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50693056	50693069	14	+	8.54854763996459	MA0072.1	intron	SHANK3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50699178	50699191	14	+	10.6528626412377	MA0072.1	intron	SHANK3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50701736	50701749	14	+	10.5061634993579	MA0072.1	intron	SHANK3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr22	50672666	50672685	20	+	8.19253344510398	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50672668	50672687	20	+	9.95699995176542	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50673563	50673582	20	+	15.1064831015757	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674171	50674190	20	+	14.2353301629017	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674172	50674191	20	+	10.7105946003537	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674182	50674201	20	+	8.80636183344823	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674192	50674211	20	+	9.01927501516563	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674194	50674213	20	+	11.6089388720879	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674233	50674252	20	+	11.2265254015948	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674237	50674256	20	+	11.329578622105	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674261	50674280	20	+	7.89566466051967	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674358	50674377	20	+	8.70700956929786	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674361	50674380	20	+	12.0775433319262	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674363	50674382	20	+	8.26800979678698	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674502	50674521	20	+	7.94908435649601	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674502	50674521	20	+	7.94908435649601	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674503	50674522	20	+	12.6107897542735	MA0073.1	promoter	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50674503	50674522	20	+	12.6107897542735	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50688331	50688350	20	+	8.70808548943365	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50696832	50696851	20	+	12.7187964669656	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50697330	50697349	20	+	8.65772558289996	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50697333	50697352	20	+	8.83424753546984	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50698484	50698503	20	+	8.15973731628055	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50701074	50701093	20	+	9.10491206038522	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50701077	50701096	20	+	10.7751098713886	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50701078	50701097	20	+	8.13083680742357	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50701081	50701100	20	+	9.22886164359155	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50701970	50701989	20	+	8.96118345778645	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50702008	50702027	20	+	8.03388675800562	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50702013	50702032	20	+	8.8718607526094	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50702018	50702037	20	+	16.7077752867109	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50702535	50702554	20	+	11.3720809491113	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50703174	50703193	20	+	10.7388035425504	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50703666	50703685	20	+	9.10239891686902	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705688	50705707	20	+	14.1187862577874	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705688	50705707	20	+	14.1187862577874	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705689	50705708	20	+	8.66808632785829	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705689	50705708	20	+	8.66808632785829	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705856	50705875	20	+	7.95080100704508	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705856	50705875	20	+	7.95080100704508	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705857	50705876	20	+	11.2817709517568	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705857	50705876	20	+	11.2817709517568	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705858	50705877	20	+	10.7132402853171	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705858	50705877	20	+	10.7132402853171	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705859	50705878	20	+	9.85818862122816	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705859	50705878	20	+	9.85818862122816	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705860	50705879	20	+	9.30835301166317	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705860	50705879	20	+	9.30835301166317	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705861	50705880	20	+	10.0119125213485	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705861	50705880	20	+	10.0119125213485	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705864	50705883	20	+	14.6987097656304	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705864	50705883	20	+	14.6987097656304	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705865	50705884	20	+	10.2081401208665	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705865	50705884	20	+	10.2081401208665	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705866	50705885	20	+	10.2766879590922	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705866	50705885	20	+	10.2766879590922	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705870	50705889	20	+	9.35970074907603	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50705870	50705889	20	+	9.35970074907603	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50706070	50706089	20	+	10.2185379623471	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50706070	50706089	20	+	10.2185379623471	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50715423	50715442	20	+	8.34023580559229	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50716071	50716090	20	+	13.8454216552075	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50716153	50716172	20	+	13.8454216552075	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50716700	50716719	20	+	8.93000586174669	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50716837	50716856	20	+	11.4078042678337	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50716880	50716899	20	+	10.3865435661126	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50718131	50718150	20	+	8.2651097939589	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50720133	50720152	20	+	10.0806755598298	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50720786	50720805	20	+	9.00433941646498	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50720786	50720805	20	+	9.00433941646498	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50721116	50721135	20	+	10.5467455286253	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50721116	50721135	20	+	10.5467455286253	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50722554	50722573	20	+	10.6145136476304	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50722557	50722576	20	+	15.0673469427488	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50722558	50722577	20	+	12.4941031246457	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50723336	50723355	20	+	7.91229928691554	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50723340	50723359	20	+	8.0955945425015	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50723868	50723887	20	+	10.9303208750438	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50728823	50728842	20	+	8.82331869229423	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50728824	50728843	20	+	12.5393600774187	MA0073.1	intron	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731312	50731331	20	+	8.73236666138461	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731312	50731331	20	+	8.73236666138461	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731312	50731331	20	+	8.73236666138461	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731312	50731331	20	+	8.73236666138461	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731312	50731331	20	+	8.73236666138461	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731315	50731334	20	+	11.702851746019	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731315	50731334	20	+	11.702851746019	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731315	50731334	20	+	11.702851746019	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731315	50731334	20	+	11.702851746019	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731315	50731334	20	+	11.702851746019	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731316	50731335	20	+	8.8030159079444	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731316	50731335	20	+	8.8030159079444	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731316	50731335	20	+	8.8030159079444	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731316	50731335	20	+	8.8030159079444	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731316	50731335	20	+	8.8030159079444	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731318	50731337	20	+	11.331814811334	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731318	50731337	20	+	11.331814811334	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731318	50731337	20	+	11.331814811334	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731318	50731337	20	+	11.331814811334	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731318	50731337	20	+	11.331814811334	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731354	50731373	20	+	8.75084890102053	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731354	50731373	20	+	8.75084890102053	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731354	50731373	20	+	8.75084890102053	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731354	50731373	20	+	8.75084890102053	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731354	50731373	20	+	8.75084890102053	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731356	50731375	20	+	11.0550250401148	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731356	50731375	20	+	11.0550250401148	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731356	50731375	20	+	11.0550250401148	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731356	50731375	20	+	11.0550250401148	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731356	50731375	20	+	11.0550250401148	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731357	50731376	20	+	12.5821385095623	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731357	50731376	20	+	12.5821385095623	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731357	50731376	20	+	12.5821385095623	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731357	50731376	20	+	12.5821385095623	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731357	50731376	20	+	12.5821385095623	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731358	50731377	20	+	10.3762145924532	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731358	50731377	20	+	10.3762145924532	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731358	50731377	20	+	10.3762145924532	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731358	50731377	20	+	10.3762145924532	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731358	50731377	20	+	10.3762145924532	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731359	50731378	20	+	7.86903237958502	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731359	50731378	20	+	7.86903237958502	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731359	50731378	20	+	7.86903237958502	MA0073.1	exon	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731359	50731378	20	+	7.86903237958502	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50731359	50731378	20	+	7.86903237958502	MA0073.1	UTR	SHANK3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr22	50676156	50676170	15	+	11.4274412220145	MA0074.1	intron	SHANK3	RXRA::VDR	-	-	Homo sapiens
chr22	50678019	50678033	15	+	13.1574368797332	MA0074.1	intron	SHANK3	RXRA::VDR	-	-	Homo sapiens
chr22	50709366	50709380	15	+	13.3110062929467	MA0074.1	intron	SHANK3	RXRA::VDR	-	-	Homo sapiens
chr22	50721092	50721106	15	+	11.6186278578538	MA0074.1	exon	SHANK3	RXRA::VDR	-	-	Homo sapiens
chr22	50721092	50721106	15	+	11.6186278578538	MA0074.1	exon	SHANK3	RXRA::VDR	-	-	Homo sapiens
chr22	50691704	50691715	12	+	11.8993011174797	MA0091.1	intron	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50694935	50694946	12	+	12.6428049932522	MA0091.1	exon	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50699432	50699443	12	+	16.9509505629042	MA0091.1	intron	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50731890	50731901	12	+	11.0143375652007	MA0091.1	exon	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50731890	50731901	12	+	11.0143375652007	MA0091.1	exon	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50731890	50731901	12	+	11.0143375652007	MA0091.1	UTR	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50732428	50732439	12	+	11.8838882077014	MA0091.1	exon	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50732428	50732439	12	+	11.8838882077014	MA0091.1	exon	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50732428	50732439	12	+	11.8838882077014	MA0091.1	UTR	SHANK3	TAL1::TCF3	-	-	Homo sapiens
chr22	50712542	50712551	10	+	14.180872801409	MA0101.1	intron	SHANK3	REL	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	Homo sapiens
chr22	50715855	50715864	10	+	13.6190931769604	MA0101.1	intron	SHANK3	REL	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	Homo sapiens
chr22	50705828	50705837	10	+	13.707695506669	MA0107.1	exon	SHANK3	RELA	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A	Homo sapiens
chr22	50705828	50705837	10	+	13.707695506669	MA0107.1	UTR	SHANK3	RELA	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A	Homo sapiens
chr22	50711823	50711832	10	+	13.6370466213246	MA0107.1	intron	SHANK3	RELA	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A	Homo sapiens
